['Índice geral e grupos de produtos e serviços','Índice geral;Alimentação e bebidas','Habitação','Artigos de residência','Vestuário','Transportes','Saúde e cuidados pessoais','Despesas pessoais','Educação','Comunicação],
['set 2016',0.06,-0.04,0.26,-0.56,0.82,-0.27,0.35,0.03,0.01,0.25],
['out 2016',0.23,-0.37,0.15,-0.22,0.3,1.17,0.38,0.11,0.04,0.24],
['nov 2016',0.26,-0.42,0.56,-1.03,0.49,0.66,0.61,0.54,0.06,0.55],
['dez 2016',0.35,0.21,-0.36,-0.36,-0.35,1.08,0.6,0.86,0,0.06],
['jan 2017',0.23,-0.06,-0.13,-0.31,0.11,0.49,0.63,0.42,0.34,0.7],
['fev 2017',0.27,-0.22,0.37,0.45,0.06,-0.25,0.62,0.19,3.63,0.52],
['mar 2017',0.31,0.46,1.06,-0.14,-0.06,-1.32,0.84,1.1,2.04,-0.56],
['abr 2017',0.16,0.9,-1.45,-0.29,1.02,-0.35,1.34,0.2,-0.01,-0.2],
['mai 2017',0.36,-0.1,2.39,-0.28,1.38,-0.92,0.66,0.37,0.16,0.18],
['jun 2017',-0.31,-0.34,-1.18,0.11,-0.47,-0.74,0.49,0.35,0.11,0.2],
['jul 2017',0.38,-0.6,2.17,-0.1,-0.22,0.74,0.24,0.49,-0.16,-0.01],
['ago 2017',0.29,-1.04,0.79,0.16,0.26,1.35,0.77,0.36,0.37,-0.4],
['set 2017',0.19,-0.2,-0.71,0.67,0.44,0.81,0.24,0.88,-0.03,0.31]
--------------------------------------------------------------------
Servicos,setembro 2016,outubro 2016,novembro 2016,dezembro 2016,janeiro 2017,fevereiro 2017,marco 2017,abril 2017,maio 2017,junho 2017,julho 2017,agosto 2017,setembro 2017
Indice geral,0.06,0.23,0.26,0.35,0.23,0.27,0.31,0.16,0.36,-0.31,0.38,0.29,0.19
Alimentacao e bebidas,-0.04,-0.37,-0.42,0.21,-0.06,-0.22,0.46,0.9,-0.1,-0.34,-0.6,-1.04,-0.2
Habitacao,0.26,0.15,0.56,-0.36,-0.13,0.37,1.06,-1.45,2.39,-1.18,2.17,0.79,-0.71
Artigos de residência,-0.56,-0.22,-1.03,-0.36,-0.31,0.45,-0.14,-0.29,-0.28,0.11,-0.1,0.16,0.67
Vestuario,0.82,0.3,0.49,-0.35,0.11,0.06,-0.06,1.02,1.38,-0.47,-0.22,0.26,0.44
Transportes,-0.27,1.17,0.66,1.08,0.49,-0.25,-1.32,-0.35,-0.92,-0.74,0.74,1.35,0.81
Saude e cuidados pessoais,0.35,0.38,0.61,0.6,0.63,0.62,0.84,1.34,0.66,0.49,0.24,0.77,0.24
Despesas pessoais,0.03,0.11,0.54,0.86,0.42,0.19,1.1,0.2,0.37,0.35,0.49,0.36,0.88
Educacao,0.01,0.04,0.06,0,0.34,3.63,2.04,-0.01,0.16,0.11,-0.16,0.37,-0.03
Comunicacao,0.25,0.24,0.55,0.06,0.7,0.52,-0.56,-0.2,0.18,0.2,-0.01,-0.4,0.31

['Servicos','set 2016','out 2016','nov 2016','dez 2016','jan 2017','fev 2017','mar 2017','abr 2017','mai 2017','jun 2017','jul 2017','ago 2017','set 2017'],
['Indice geral',0.06,0.23,0.26,0.35,0.23,0.27,0.31,0.16,0.36,-0.31,0.38,0.29,0.19],
['Alimentacao e bebidas',-0.04,-0.37,-0.42,0.21,-0.06,-0.22,0.46,0.9,-0.1,-0.34,-0.6,-1.04,-0.2],
['Habitacao',0.26,0.15,0.56,-0.36,-0.13,0.37,1.06,-1.45,2.39,-1.18,2.17,0.79,-0.71],
['Artigos de residência',-0.56,-0.22,-1.03,-0.36,-0.31,0.45,-0.14,-0.29,-0.28,0.11,-0.1,0.16,0.67],
['Vestuario',0.82,0.3,0.49,-0.35,0.11,0.06,-0.06,1.02,1.38,-0.47,-0.22,0.26,0.44],
['Transportes',-0.27,1.17,0.66,1.08,0.49,-0.25,-1.32,-0.35,-0.92,-0.74,0.74,1.35,0.81],
['Saude e cuidados pessoais',0.35,0.38,0.61,0.6,0.63,0.62,0.84,1.34,0.66,0.49,0.24,0.77,0.24],
['Despesas pessoais',0.03,0.11,0.54,0.86,0.42,0.19,1.1,0.2,0.37,0.35,0.49,0.36,0.88],
['Educacao',0.01,0.04,0.06,0,0.34,3.63,2.04,-0.01,0.16,0.11,-0.16,0.37,-0.03],
['Comunicacao',0.25,0.24,0.55,0.06,0.7,0.52,-0.56,-0.2,0.18,0.2,-0.01,-0.4,0.31]
